node_id,count,A,r,cL,word
0,0,82,7460635,5434991371585317374247667317221,1.2.1.1.1.1.1.1.1.1.2.3.1.1.1.1.1.2.1.1.1.1.1.1.1.3.1.1.1.2.2.1.2.2.2.1.1.1.3.2.1.2.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.2.1.1
1,0,82,11190953,6435647565083359048300925843543,2.1.1.1.1.1.1.1.1.2.3.1.1.1.1.1.2.1.1.1.1.1.1.1.3.1.1.1.2.2.1.2.2.2.1.1.1.3.2.1.2.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.2.1.1.1
2,0,87,13670559,4720138797051422791654260606049,1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.1.1.1.1.1.1.1.1.2.1.3.1.1.1.1.3.1.1.4.1.1.3.1.2.1.1.1.2.1.1.1.1.1.1.1.2.1.1.1.3.1.1.1.1.3.1.1.1
3,0,87,12833247,5496953811044676222730482780961,1.1.1.1.3.1.1.1.2.1.2.1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.1.2.1.1.1.1.2.1.1.1.1.2.1.2.1.4.1.1.3.1.2.1.1.1.1.1.1.1.1.2.1.3.1.2.1.2.3
4,0,88,6514687,3549800958111928978326955447553,1.1.1.1.1.1.1.1.1.1.2.1.1.1.2.1.1.1.2.1.1.1.1.2.4.2.1.1.1.2.1.1.2.1.1.2.1.1.2.2.1.1.1.3.3.1.1.1.1.2.1.1.1.3.3.3.1.1.1.1.1.1.1.1
5,0,88,6206655,7268624944579844097135040415809,1.1.1.1.1.2.3.2.1.1.2.1.1.1.1.1.2.2.2.1.1.1.1.1.1.1.1.1.2.1.1.1.3.1.2.3.1.1.3.2.1.2.2.2.1.1.1.1.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2
6,0,88,7826591,4979968138733690707053831860321,1.1.1.1.2.1.1.1.2.1.2.1.1.1.2.2.2.1.1.1.1.2.1.1.1.1.4.1.2.3.2.2.1.1.1.1.1.1.2.1.1.2.1.2.2.1.1.1.1.2.1.1.1.2.2.1.1.1.2.2.1.1.1.1
7,0,88,3037039,8393647332622046383472707286417,1.1.1.2.1.3.1.1.1.1.1.1.3.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1
8,0,88,10443495,6151092993496134987486470478361,1.1.2.1.1.2.1.1.1.1.3.1.1.1.1.1.3.1.2.2.2.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.4.2.1.2.2.3.1.3.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2
9,0,88,4555559,10873783831291724005414498775513,1.1.2.1.3.1.1.1.1.1.1.3.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1
10,0,88,8837211,6748682228337645234083748640933,1.2.1.1.2.1.1.1.1.1.2.2.2.1.1.1.1.1.1.1.1.1.2.1.1.1.3.1.2.3.1.1.3.2.1.2.2.2.1.1.1.1.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.2
11,0,88,9612297,18443370263618502020363311689463,2.1.1.2.3.1.1.2.1.2.1.1.2.1.1.1.1.1.1.2.1.2.1.1.2.1.2.2.1.2.2.1.1.2.1.2.1.1.1.1.1.1.2.1.1.1.2.1.1.2.2.2.1.1.1.2.1.1.1.2.1.1.1.2
12,0,89,13029375,3665918095931345471996061805825,1.1.1.1.1.1.1.1.1.1.1.3.1.1.2.1.1.1.2.1.1.1.1.2.4.2.1.1.1.2.1.1.2.1.1.2.1.1.2.2.1.1.1.3.3.1.1.1.1.2.1.1.1.3.3.3.1.1.1.1.1.1.1.1
13,0,89,10906367,11197297168042357752098310410753,1.1.1.1.1.1.1.2.4.1.1.2.1.2.1.2.1.1.1.1.1.4.2.1.1.1.1.1.6.1.2.1.1.1.1.1.2.4.1.1.1.2.1.1.2.1.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.2
14,0,89,16995455,4407910626569069891415833110657,1.1.1.1.1.1.2.2.2.1.1.1.1.2.1.1.1.1.2.1.1.1.1.3.1.1.2.1.1.1.1.1.1.1.1.1.1.1.2.2.1.2.1.1.1.3.3.2.1.1.1.1.1.1.1.1.2.1.1.4.4.1.1.3
15,0,89,18048031,6032031493215260734418336069857,1.1.1.1.2.2.1.1.1.1.2.2.1.3.1.1.2.1.1.2.1.1.1.2.2.1.1.2.1.1.2.1.2.1.1.1.1.1.2.1.3.1.1.2.1.3.1.1.2.2.1.1.2.1.1.1.1.2.1.2.1.2.1.1
16,0,89,18601519,6797092158308319045032953870033,1.1.1.2.2.1.1.1.1.2.1.1.1.1.1.1.2.1.1.1.1.1.1.2.2.2.1.1.1.2.2.4.5.1.1.1.5.1.1.1.1.1.1.1.2.1.2.1.1.1.1.3.1.1.1.1.1.1.1.1.1.2.1.1
17,0,89,17831783,8158709961386362099092292033945,1.1.2.1.1.1.1.1.1.3.2.1.2.2.1.1.1.3.1.2.1.3.2.1.1.1.1.1.2.2.1.1.1.1.1.1.1.1.1.1.1.2.1.2.5.1.1.2.1.1.2.1.2.1.1.2.1.1.1.1.1.2.1.1
18,0,89,7209223,12974184113893203730375202690041,1.1.2.3.1.1.2.1.2.1.1.2.1.1.1.1.1.1.2.1.2.1.1.2.1.2.2.1.2.2.1.1.2.1.2.1.1.1.1.1.1.2.1.1.1.2.1.1.2.2.2.1.1.1.2.1.1.1.2.1.1.1.2.3
19,0,89,17674423,10063680636382777983509648192585,1.1.3.1.2.1.1.1.1.1.2.2.2.1.1.1.1.1.1.1.1.1.2.1.1.1.3.1.2.3.1.1.3.2.1.2.2.2.1.1.1.1.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.2
20,0,89,3977719,15346674976714113818845401445129,1.1.3.2.1.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1
