node_id,count,A,r,cL,word,R4,R4_decimal,in_range,impossible,mod_4A
0,0,82,7460635,5434991371585317374247667317221,1.2.1.1.1.1.1.1.1.1.2.3.1.1.1.1.1.2.1.1.1.1.1.1.1.3.1.1.1.2.2.1.2.2.2.1.1.1.3.2.1.2.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.2.1.1,485132480828924708791638753419328791332871568625892735099432748153001524261119530134246524447741723,485132480828924708791638753419328791332871568625892735099432748153001524261119530134246524447741723,False,True,546812681195752981093125556779405341338292357723303109106442651602488249799843980805878294255763456
1,0,82,11190953,6435647565083359048300925843543,2.1.1.1.1.1.1.1.1.2.3.1.1.1.1.1.2.1.1.1.1.1.1.1.3.1.1.1.2.2.1.2.2.2.1.1.1.3.2.1.2.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.2.1.1.1,454292380645510572640895351739290516330161174077187548095927796428258161491757304798430639543730857,454292380645510572640895351739290516330161174077187548095927796428258161491757304798430639543730857,False,True,546812681195752981093125556779405341338292357723303109106442651602488249799843980805878294255763456
2,0,87,13670559,4720138797051422791654260606049,1.1.1.1.2.1.1.1.1.1.1.3.1.3.2.1.1.1.1.1.1.1.1.1.2.1.3.1.1.1.1.3.1.1.4.1.1.3.1.2.1.1.1.2.1.1.1.1.1.1.1.2.1.1.1.3.1.1.1.1.3.1.1.1,134853956366532688564874672791782682921566757026056957217466471675493987040874206520844819559647812819103,134853956366532688564874672791782682921566757026056957217466471675493987040874206520844819559647812819103,False,True,573374653997517877902705223825521735199141247292070280934397209846730719022121202017504638277531421638656
3,0,87,12833247,5496953811044676222730482780961,1.1.1.1.3.1.1.1.2.1.2.1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.1.1.2.1.1.1.1.2.1.1.1.1.2.1.2.1.4.1.1.3.1.2.1.1.1.1.1.1.1.1.2.1.3.1.2.1.2.3,33745111495294563667026597998706771764970925094173616679865296202432362418402604425329743011142781096415,33745111495294563667026597998706771764970925094173616679865296202432362418402604425329743011142781096415,False,True,573374653997517877902705223825521735199141247292070280934397209846730719022121202017504638277531421638656
4,0,88,6514687,3549800958111928978326955447553,1.1.1.1.1.1.1.1.1.1.2.1.1.1.2.1.1.1.2.1.1.1.1.2.4.2.1.1.1.2.1.1.2.1.1.2.1.1.2.2.1.1.1.3.3.1.1.1.1.2.1.1.1.3.3.3.1.1.1.1.1.1.1.1,6461702323069171973122283990624343212036396915572316279268508619876023740254852012324236074575856872417279,6461702323069171973122283990624343212036396915572316279268508619876023740254852012324236074575856872417279,False,True,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496
5,0,88,6206655,7268624944579844097135040415809,1.1.1.1.1.2.3.2.1.1.2.1.1.1.1.1.2.2.2.1.1.1.1.1.1.1.1.1.2.1.1.1.3.1.2.3.1.1.3.2.1.2.2.2.1.1.1.1.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2,8086459142662537815059335847253730198639784330082636579931695906192629383296234562891536754715450777973951,8086459142662537815059335847253730198639784330082636579931695906192629383296234562891536754715450777973951,False,True,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496
6,0,88,7826591,4979968138733690707053831860321,1.1.1.1.2.1.1.1.2.1.2.1.1.1.2.2.2.1.1.1.1.2.1.1.1.1.4.1.2.3.2.2.1.1.1.1.1.1.2.1.1.2.1.2.2.1.1.1.1.2.1.1.1.2.2.1.1.1.2.2.1.1.1.1,7973508465171240471295896874741801632212436171845245891522564187472279565100026716138997445253668498009247,7973508465171240471295896874741801632212436171845245891522564187472279565100026716138997445253668498009247,False,True,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496
7,0,88,3037039,8393647332622046383472707286417,1.1.1.2.1.3.1.1.1.1.1.1.3.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1,9163148285216173035253547063029968794924926972894430545348384991966214494434111383114090378920298743224175,9163148285216173035253547063029968794924926972894430545348384991966214494434111383114090378920298743224175,False,True,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496
8,0,88,10443495,6151092993496134987486470478361,1.1.2.1.1.2.1.1.1.1.3.1.1.1.1.1.3.1.2.2.2.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.4.2.1.2.2.3.1.3.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2,8042058825513245410632074584007639285362114938950102013856615447264095777291197395572105004344291641744103,8042058825513245410632074584007639285362114938950102013856615447264095777291197395572105004344291641744103,False,True,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496
9,0,88,4555559,10873783831291724005414498775513,1.1.2.1.3.1.1.1.1.1.1.3.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1,4570727963863973506437037013336605429201130502668521323072222130401630237297227842391061355939945368617767,4570727963863973506437037013336605429201130502668521323072222130401630237297227842391061355939945368617767,False,True,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496
